CNPJ_Fundo_Classe;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
53.076.746/0001-45;2025-05-01;1;907818.87;907818.87;0;0;0;78422966.76;78422966.76;78422966.76;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;631617.04;620085.15;0;11531.89;0;17632.01;0;0;0;0;0;0;0;11000.6;28632.61
53.076.746/0001-45;2025-06-01;2;917697.71;917697.71;0;0;0;78422966.76;78422966.76;78422966.76;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;611935.12;269689.99;0;342245.13;20.08;19762.77;0;0;0;0;0;0;0;187025.28;206808.13
53.076.746/0001-45;2025-07-01;1;1277250.93;1277250.93;0;0;0;78422966.76;78422966.76;78422966.76;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;8255.48;0;0;8255.48;20.08;28612.53;0;0;0;0;0;0;0;178175.52;206808.13
53.076.746/0001-45;2025-08-01;1;1233053.5;1233053.5;0;0;0;78422966.76;78422966.76;78422966.76;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;9302.87;0;0;9302.87;0;19762.77;0;0;0;0;0;0;0;190821.49;210584.26
53.076.746/0001-45;2025-09-01;1;25831901.98;14945961.03;10885940.95;0;0;78422966.76;78422966.76;78422966.76;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;267846.45;256705.76;0;11140.69;0;19762.77;0;0;0;0;0;0;0;11085787.34;11105550.11
53.087.126/0001-01;2025-01-01;1;231602.53;0;0;0;231602.53;11180809.22;11180809.22;0;0;0;0;11180809.22;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2275.31;0;0;2275.31;0;15000;0;0;0;0;0;0;0;184148.72;199148.72
53.087.126/0001-01;2025-02-01;1;143325.55;0;0;0;143325.55;11180809.22;11180809.22;0;0;0;0;11180809.22;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7571.19;0;0;7571.19;0;15000;0;100000;0;0;0;0;0;86660.93;201660.93
53.087.126/0001-01;2025-03-01;1;104068.15;0;0;0;104068.15;11180809.22;11180809.22;0;0;0;0;11180809.22;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6176.62;0;0;6176.62;0;15000;0;100000;0;0;0;0;0;89935.36;204935.36
53.087.126/0001-01;2025-04-01;1;38110.41;0;0;0;38110.41;10442019.9;10442019.9;0;0;0;0;10442019.9;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2753691.24;0;2748719.14;4972.1;0;15000;0;100000;0;0;0;0;0;39563.22;154563.22
53.087.126/0001-01;2025-05-01;1;51849.89;0;0;0;51849.89;10442019.9;10442019.9;0;0;0;0;10442019.9;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2738176.16;0;2727501.78;10674.38;0;30000;0;100000;0;0;0;0;0;67118.42;197118.42
53.087.126/0001-01;2025-06-01;1;76558.71;0.02;0;0;76558.69;10442019.9;10442019.9;0;0;0;0;10442019.9;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2711977.16;0;2702593.44;9383.72;0;45000;0;100000;0;0;0;0;0;93441.29;238441.29
